name,album,artist,spotify_url,album_cover,time_period
Freedom 2,Freedom 2,Kwengface,https://open.spotify.com/track/3sn7UM54xyAUjfR9rNxZwp,https://i.scdn.co/image/ab67616d0000b2735bb0d09cf45adf72ac2961b6,medium_term
every day is a game,every day is a game,Night Tapes,https://open.spotify.com/track/64ircYoqL31h8dhGPpiUYO,https://i.scdn.co/image/ab67616d0000b273b1ae581e4fa6796e58a91c19,medium_term
A House In Nebraska,Preacher’s Daughter,Ethel Cain,https://open.spotify.com/track/6UxAKocZd98MRn0u5obryV,https://i.scdn.co/image/ab67616d0000b273ccd1887cc78b0bd55f54bbe1,medium_term
360,360,Charli XCX,https://open.spotify.com/track/7JxexWxny7yJ3slTLmWz2U,https://i.scdn.co/image/ab67616d0000b27352b3b1829d550ece26677087,medium_term
Crush,Inbred,Ethel Cain,https://open.spotify.com/track/0nsIevK1SeDfZzDOi6Si75,https://i.scdn.co/image/ab67616d0000b273f044eadcf908a0e9649512db,medium_term
Angels in Tibet,Fountain Baby,Amaarae,https://open.spotify.com/track/23uUytja1B1mUOOIoygf6u,https://i.scdn.co/image/ab67616d0000b273c8ddabbbb56597f7f1fc6828,medium_term
Motherboard,Random Access Memories,Daft Punk,https://open.spotify.com/track/79koEJRtKOOGJ0VSAF3FMk,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937,medium_term
Life Round Here,Overgrown,James Blake,https://open.spotify.com/track/2746pcTPaE9FBHkvUivCsg,https://i.scdn.co/image/ab67616d0000b273d134dbb0fad78dda23d777ff,medium_term
Hide and Seek,Speak for Yourself,Imogen Heap,https://open.spotify.com/track/7mMlbJlXXo2mRtQ4R9sIzD,https://i.scdn.co/image/ab67616d0000b273866872ba52cf201fc33995cc,medium_term
How It Feels,When Will We Land?,Barry Can't Swim,https://open.spotify.com/track/3NZz7DWeVQesSOn6mO39F7,https://i.scdn.co/image/ab67616d0000b27316bc57c40991e6d3267765ab,long_term
Cold Blooded,Good Lies,Overmono,https://open.spotify.com/track/6ULPq2iNWiykHX1acI2SGn,https://i.scdn.co/image/ab67616d0000b273dd8fbf4e3c304f6b3602a745,long_term
Kammy (like i do),Kammy (like i do),Fred again..,https://open.spotify.com/track/32DqQqnNiZI5VxozdaUUDu,https://i.scdn.co/image/ab67616d0000b273f01ad06a0ca7edaaea75faab,long_term
Selene,Selene,Night Tapes,https://open.spotify.com/track/4npKDsY9jICNTZ9k1OCJWv,https://i.scdn.co/image/ab67616d0000b2736743f18e6390a909049e2a91,long_term
Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,long_term
Say It Right,Loose,Nelly Furtado,https://open.spotify.com/track/2aI21FnmY7TJVKeMaoQZ0t,https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2,long_term
What You Say?,What You Say?,Young Marco,https://open.spotify.com/track/22quZFeltYbo325rn3ktTe,https://i.scdn.co/image/ab67616d0000b27303990e23b0d143ccdf012a23,long_term
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,https://open.spotify.com/track/2WigMwGJysIh9fRnSJvpjn,https://i.scdn.co/image/ab67616d0000b273948cc9446ba50ec454e6804f,long_term
Biking,Biking,Frank Ocean,https://open.spotify.com/track/2q0VexHJirnUPnEOhr2DxK,https://i.scdn.co/image/ab67616d0000b27369a8328489e5e485514a8667,long_term
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,long_term
Let Go,Let Go,Duskus,https://open.spotify.com/track/4oZnV1W54b1TIn96i0KIwV,https://i.scdn.co/image/ab67616d0000b2733b8689717d3fca6630462a9f,long_term
What It Is (Solo Version),What It Is (Versions),Doechii,https://open.spotify.com/track/73RbfOTJIjHzi2pcVHjeHM,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,long_term
Hide and Seek,Speak for Yourself,Imogen Heap,https://open.spotify.com/track/7mMlbJlXXo2mRtQ4R9sIzD,https://i.scdn.co/image/ab67616d0000b273866872ba52cf201fc33995cc,long_term
The Percocet & Stripper Joint,DS2 (Deluxe),Future,https://open.spotify.com/track/1yCVsVH2hQ72SxNI8QTDaB,https://i.scdn.co/image/ab67616d0000b273b2592bea12d840fd096ef965,long_term
Speed Drive (From Barbie The Album),Speed Drive (From Barbie The Album),Charli XCX,https://open.spotify.com/track/5VxmI3IdgAxWVvUnJoLuY2,https://i.scdn.co/image/ab67616d0000b273cd6f4f3b7d178e0a8b963da1,long_term
jealousy (feat. rema),CAPRISONGS,FKA twigs,https://open.spotify.com/track/66fCNfMdIKsXOnSphorrwg,https://i.scdn.co/image/ab67616d0000b273a1a30cf13d406a0d5d33ae53,long_term
LSDXOXO_TRUTH OR DARE_123 BPM,"TAKE ME A_PART, THE REMIXES",Kelela,https://open.spotify.com/track/0pO8YwXGjixwYbEEaifaCL,https://i.scdn.co/image/ab67616d0000b273904274db5e7c07ec1bb510f0,long_term
Just Like Heaven,"Kiss Me, Kiss Me, Kiss Me",The Cure,https://open.spotify.com/track/4NnWuGQujzWUEg0uZokO5M,https://i.scdn.co/image/ab67616d0000b27322f1b1c3e396b003b7bdd637,long_term
Tiro,KICK ii,Arca,https://open.spotify.com/track/0TcbMBsLnhquWjhsxIN1BW,https://i.scdn.co/image/ab67616d0000b273f9e8f3f889a24247b88cc4a2,long_term
Nights,Blonde,Frank Ocean,https://open.spotify.com/track/7eqoqGkKwgOaWNNHx90uEZ,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,long_term
